"","School","Name","Year","Pop","TotalExpenses","ExpensePerStudent","Tuition"
"1","Augsburg","Augsburg University",2012,3166,98738713,31187.2119393557,31292
"2","Augsburg","Augsburg University",2013,3346,98705257,29499.4790794979,32544
"3","Augsburg","Augsburg University",2014,3425,101420549,29611.8391240876,33766
"4","Augsburg","Augsburg University",2015,3419,107942658,31571.4121088037,34800
"5","Augsburg","Augsburg University",2016,3562,107942658,30303.9466591802,35750
"6","Augsburg","Augsburg University",2017,3621,116681493,32223.5550952775,36950
"7","Augsburg","Augsburg University",2018,3458,122861179,35529.548582996,38150
"8","Augsburg","Augsburg University",2019,3528,132000298,37415.0504535147,39295
"9","Augsburg","Augsburg University",2020,3662,122472953,33444.2799016931,39295
"10","Augsburg","Augsburg University",2021,3645,134272678,36837.49739369,40277
"11","Bethel","Bethel University",2012,3731,138213257,37044.5609756098,30700
"12","Bethel","Bethel University",2013,3814,133098336,34897.308862087,31620
"13","Bethel","Bethel University",2014,4005,132401452,33059.0392009987,32840
"14","Bethel","Bethel University",2015,3692,143481996,38862.9458288191,33990
"15","Bethel","Bethel University",2016,3797,136630509,35983.8053726626,35010
"16","Bethel","Bethel University",2017,4016,143474824,35725.8027888446,36060
"17","Bethel","Bethel University",2018,3952,142962869,36174.8150303644,37140
"18","Bethel","Bethel University",2019,3979,143225963,35995.4669514953,38300
"19","Bethel","Bethel University",2020,4340,140321203,32332.0744239631,38870
"20","Bethel","Bethel University",2021,4343,137330745,31621.1708496431,39920
"21","Carleton","Carleton College",2012,2044,158644301,77614.6286692759,44184
"22","Carleton","Carleton College",2013,1940,164258577,84669.3695876289,45900
"23","Carleton","Carleton College",2014,2115,168973128,79892.7319148936,47460
"24","Carleton","Carleton College",2015,2097,177272864,84536.4158321412,48987
"25","Carleton","Carleton College",2016,2078,186053185,89534.7377285852,50580
"26","Carleton","Carleton College",2017,2105,190393370,90448.1567695962,52476
"27","Carleton","Carleton College",2018,2014,196383289,97509.0809334657,54438
"28","Carleton","Carleton College",2019,2057,199426933,96950.3806514341,56778
"29","Carleton","Carleton College",2020,2045,203397209,99460.7378973105,58968
"30","Carleton","Carleton College",2021,2055,223828854,108919.150364963,59850
"31","Concordia","Concordia University-Saint Paul",2012,5545,118341969,21342.104418395,29700
"32","Concordia","Concordia University-Saint Paul",2013,5585,121338952,21725.8642793196,19700
"33","Concordia","Concordia University-Saint Paul",2014,5137,118209957,23011.4769320615,20200
"34","Concordia","Concordia University-Saint Paul",2015,5054,117841336,23316.4495449149,20750
"35","Concordia","Concordia University-Saint Paul",2017,4582,122611548,26759.395024007,21750
"36","Concordia","Concordia University-Saint Paul",2018,4380,130329546,29755.604109589,22275
"37","Concordia","Concordia University-Saint Paul",2019,4081,133694145,32760.1433472188,22800
"38","Concordia","Concordia University-Saint Paul",2020,3661,118627463,32403.021851953,23400
"39","Concordia","Concordia University-Saint Paul",2021,3018,101345334,33580.296222664,23900
"40","Gustavus","Gustavus Adolphus College",2012,2251,128115517,56914.9342514438,37210
"41","Gustavus","Gustavus Adolphus College",2013,2230,132104671,59239.762780269,38660
"42","Gustavus","Gustavus Adolphus College",2014,2237,136675569,61097.7063030845,39930
"43","Gustavus","Gustavus Adolphus College",2015,2241,135571540,60496.0017849174,41140
"44","Gustavus","Gustavus Adolphus College",2016,2181,133170746,61059.4892251261,42360
"45","Gustavus","Gustavus Adolphus College",2017,2250,137503658,61112.7368888889,43590
"46","Gustavus","Gustavus Adolphus College",2018,2379,144560438,60765.2114333754,44900
"47","Gustavus","Gustavus Adolphus College",2019,2457,147479566,60024.2433862434,46520
"48","Gustavus","Gustavus Adolphus College",2020,2449,148756242,60741.6259697836,48250
"49","Gustavus","Gustavus Adolphus College",2021,2526,159071069,62973.5031670625,49950
"50","HU","Hamline University",2012,2931,121219945,41357.879563289,33236
"51","HU","Hamline University",2013,3113,123558544,39691.1480886605,34570
"52","HU","Hamline University",2014,3404,128043868,37615.7074030552,35710
"53","HU","Hamline University",2015,3526,122701029,34798.9305161656,36888
"54","HU","Hamline University",2016,3734,113908541,30505.768880557,38100
"55","HU","Hamline University",2017,3852,115082754,29876.1043613707,39206
"56","HU","Hamline University",2018,4258,117880887,27684.5671676844,40284
"57","HU","Hamline University",2019,4469,120221627,26901.2367420004,41734
